Trip_ID	LengthInFeet	DurationInSeconds	TotalAverageSpeed
18133760_2008-07-18 15:15:40.000:	2345.27	1212	1.93504
18133637_2008-07-18 15:17:08.000:	1524.69	654	2.33133
18133771_2008-07-18 15:20:37.000:	1617.28	813	1.98927
18133140_2008-07-18 15:22:24.000:	2601.33	1020	2.55032
18134009_2008-07-18 15:24:21.000:	4389.46	2287	1.91931
18133932_2008-07-18 15:26:04.000:	1133.8	593	1.91197
18133412_2008-07-18 15:27:10.000:	2728.82	1517	1.79882
18133620_2008-07-18 15:31:36.000:	5280.41	2586	2.04192
18133750_2008-07-18 15:36:09.000:	2533.57	1069	2.37004
18133760_2008-07-18 15:40:38.000:	2276.12	1221	1.86414
18133549_2008-07-18 15:42:24.000:	4984.12	2321	2.1474
18133929_2008-07-18 15:43:58.000:	1481.64	665	2.22803
18133619_2008-07-18 15:47:53.000:	1808.86	1063	1.70166
18133932_2008-07-18 15:52:35.000:	2440.58	1204	2.02706
18133140_2008-07-18 15:59:20.000:	1746.73	718	2.43277
18133761_2008-07-18 15:59:49.000:	4371.35	2401	1.82064
18133397_2008-07-18 16:03:26.000:	762.168	376	2.02704
18133619_2008-07-18 16:13:05.000:	2699.18	1185	2.27779
18133761_2008-07-18 16:13:49.000:	1160.38	432	2.68607
18133488_2008-07-18 16:17:39.000:	4839.78	2470	1.95942
18133754_2008-07-18 16:19:45.000:	1299.75	587	2.21422
18133153_2008-07-18 16:20:04.000:	1527.92	726	2.10458
18133775_2008-07-18 16:24:54.000:	1563.05	678	2.30538
18133637_2008-07-18 16:25:20.000:	4742.73	2726	1.73981
18133760_2008-07-18 16:25:25.000:	1634.79	793	2.06152
18133170_2008-07-18 16:27:19.000:	2584.4	1155	2.23758
18133700_2008-07-18 16:32:00.000:	2454.02	1110	2.21083
18133929_2008-07-18 16:33:32.000:	1542.54	599	2.57519
18133736_2008-07-18 16:35:28.000:	1485.01	586	2.53414
18133624_2008-07-18 16:40:25.000:	4046.25	2082	1.94345
