24	24	0
24	25	1
24	26	2
24	27	3
24	20	3
24	21	4
24	22	5
24	23	6
24	28	3
24	29	4
24	4	6
24	8	4
24	59	6
24	58	5
24	55	5
24	54	4
24	57	4
24	56	6
24	51	3
24	50	5
24	53	5
24	52	4
24	88	8
24	89	7
24	82	4
24	83	5
24	80	7
24	81	3
24	86	7
24	87	8
24	84	6
24	85	7
24	3	6
24	7	4
24	39	4
24	38	5
24	33	4
24	32	3
24	31	2
24	30	5
24	37	5
24	36	6
24	35	5
24	34	6
24	60	3
24	61	2
24	62	4
24	63	5
24	64	6
24	65	4
24	66	5
24	67	6
24	68	6
24	69	7
24	2	6
24	6	5
24	91	5
24	90	6
24	93	6
24	92	5
24	95	4
24	94	5
24	96	6
24	11	3
24	10	4
24	13	4
24	12	5
24	15	3
24	14	4
24	17	2
24	16	2
24	19	2
24	18	1
24	48	3
24	49	4
24	1	5
24	5	5
24	9	3
24	77	7
24	76	7
24	75	6
24	74	7
24	73	8
24	72	7
24	71	6
24	70	8
24	79	6
24	78	5
25	24	1
25	25	0
25	26	1
25	27	2
25	20	4
25	21	5
25	22	4
25	23	5
25	28	4
25	29	5
25	4	5
25	8	5
25	59	5
25	58	6
25	55	6
25	54	5
25	57	5
25	56	5
25	51	4
25	50	5
25	53	5
25	52	5
25	88	7
25	89	6
25	82	5
25	83	6
25	80	8
25	81	4
25	86	8
25	87	8
25	84	7
25	85	8
25	3	5
25	7	5
25	39	5
25	38	6
25	33	5
25	32	4
25	31	3
25	30	4
25	37	6
25	36	7
25	35	6
25	34	7
25	60	4
25	61	3
25	62	5
25	63	6
25	64	5
25	65	5
25	66	6
25	67	6
25	68	7
25	69	8
25	2	5
25	6	6
25	91	4
25	90	5
25	93	5
25	92	4
25	95	3
25	94	4
25	96	5
25	11	4
25	10	5
25	13	5
25	12	6
25	15	4
25	14	5
25	17	3
25	16	3
25	19	3
25	18	2
25	48	4
25	49	5
25	1	4
25	5	5
25	9	4
25	77	8
25	76	8
25	75	7
25	74	7
25	73	7
25	72	8
25	71	7
25	70	7
25	79	7
25	78	6
26	24	2
26	25	1
26	26	0
26	27	1
26	20	5
26	21	4
26	22	3
26	23	4
26	28	5
26	29	4
26	4	4
26	8	6
26	59	4
26	58	5
26	55	5
26	54	6
26	57	6
26	56	4
26	51	5
26	50	4
26	53	4
26	52	5
26	88	6
26	89	5
26	82	6
26	83	7
26	80	8
26	81	5
26	86	8
26	87	7
26	84	7
26	85	7
26	3	4
26	7	5
26	39	6
26	38	7
26	33	6
26	32	5
26	31	4
26	30	3
26	37	7
26	36	8
26	35	7
26	34	8
26	60	5
26	61	4
26	62	6
26	63	5
26	64	4
26	65	6
26	66	6
26	67	5
26	68	8
26	69	7
26	2	4
26	6	5
26	91	3
26	90	4
26	93	4
26	92	3
26	95	2
26	94	3
26	96	4
26	11	5
26	10	6
26	13	6
26	12	7
26	15	5
26	14	6
26	17	4
26	16	4
26	19	4
26	18	3
26	48	5
26	49	5
26	1	3
26	5	4
26	9	5
26	77	7
26	76	8
26	75	8
26	74	6
26	73	6
26	72	7
26	71	8
26	70	6
26	79	8
26	78	7
27	24	3
27	25	2
27	26	1
27	27	0
27	20	4
27	21	3
27	22	2
27	23	3
27	28	4
27	29	3
27	4	3
27	8	5
27	59	3
27	58	4
27	55	4
27	54	5
27	57	5
27	56	3
27	51	5
27	50	3
27	53	3
27	52	4
27	88	5
27	89	4
27	82	7
27	83	7
27	80	7
27	81	6
27	86	7
27	87	6
27	84	6
27	85	6
27	3	3
27	7	4
27	39	7
27	38	8
27	33	7
27	32	6
27	31	5
27	30	2
27	37	8
27	36	9
27	35	7
27	34	8
27	60	6
27	61	5
27	62	5
27	63	4
27	64	3
27	65	6
27	66	5
27	67	4
27	68	7
27	69	6
27	2	3
27	6	4
27	91	2
27	90	3
27	93	3
27	92	2
27	95	1
27	94	2
27	96	3
27	11	6
27	10	7
27	13	7
27	12	8
27	15	6
27	14	7
27	17	5
27	16	5
27	19	5
27	18	4
27	48	5
27	49	4
27	1	2
27	5	3
27	9	5
27	77	6
27	76	7
27	75	8
27	74	5
27	73	5
27	72	6
27	71	7
27	70	5
27	79	8
27	78	8
20	24	3
20	25	4
20	26	5
20	27	4
20	20	0
20	21	1
20	22	2
20	23	5
20	28	4
20	29	5
20	4	5
20	8	5
20	59	5
20	58	6
20	55	6
20	54	5
20	57	5
20	56	5
20	51	4
20	50	5
20	53	5
20	52	5
20	88	7
20	89	6
20	82	3
20	83	4
20	80	6
20	81	2
20	86	6
20	87	7
20	84	5
20	85	6
20	3	5
20	7	5
20	39	3
20	38	4
20	33	5
20	32	4
20	31	3
20	30	4
20	37	4
20	36	5
20	35	5
20	34	6
20	60	4
20	61	3
20	62	5
20	63	6
20	64	5
20	65	5
20	66	6
20	67	6
20	68	6
20	69	7
20	2	5
20	6	6
20	91	4
20	90	5
20	93	5
20	92	4
20	95	3
20	94	4
20	96	5
20	11	4
20	10	5
20	13	5
20	12	6
20	15	4
20	14	5
20	17	3
20	16	3
20	19	1
20	18	2
20	48	4
20	49	5
20	1	4
20	5	5
20	9	4
20	77	6
20	76	6
20	75	5
20	74	6
20	73	7
20	72	6
20	71	5
20	70	7
20	79	5
20	78	4
21	24	4
21	25	5
21	26	4
21	27	3
21	20	1
21	21	0
21	22	1
21	23	4
21	28	5
21	29	4
21	4	4
21	8	6
21	59	4
21	58	5
21	55	5
21	54	6
21	57	6
21	56	4
21	51	5
21	50	4
21	53	4
21	52	5
21	88	6
21	89	5
21	82	4
21	83	5
21	80	7
21	81	3
21	86	7
21	87	7
21	84	6
21	85	7
21	3	4
21	7	5
21	39	4
21	38	5
21	33	6
21	32	5
21	31	4
21	30	3
21	37	5
21	36	6
21	35	6
21	34	7
21	60	5
21	61	4
21	62	6
21	63	5
21	64	4
21	65	6
21	66	6
21	67	5
21	68	7
21	69	7
21	2	4
21	6	5
21	91	3
21	90	4
21	93	4
21	92	3
21	95	2
21	94	3
21	96	4
21	11	5
21	10	6
21	13	6
21	12	7
21	15	5
21	14	6
21	17	4
21	16	4
21	19	2
21	18	3
21	48	5
21	49	5
21	1	3
21	5	4
21	9	5
21	77	7
21	76	7
21	75	6
21	74	6
21	73	6
21	72	7
21	71	6
21	70	6
21	79	6
21	78	5
22	24	5
22	25	4
22	26	3
22	27	2
22	20	2
22	21	1
22	22	0
22	23	3
22	28	4
22	29	3
22	4	3
22	8	5
22	59	3
22	58	4
22	55	4
22	54	5
22	57	5
22	56	3
22	51	5
22	50	3
22	53	3
22	52	4
22	88	5
22	89	4
22	82	5
22	83	6
22	80	7
22	81	4
22	86	7
22	87	6
22	84	6
22	85	6
22	3	3
22	7	4
22	39	5
22	38	6
22	33	7
22	32	6
22	31	5
22	30	2
22	37	6
22	36	7
22	35	7
22	34	8
22	60	6
22	61	5
