UPC	Description	Categories (self defined)	Department	Price	Categories (self defined)	Category Ave Price 
00003410057636	LITE FRIDGE PK 12/12CN	BEER	BEER	$10.79 		6.960727273
00003410082874	HENRY WEIN PALE ALE 12/12	BEER	BEER	$11.29 		6.960727273
00007199000048	COORS LT 12/12 CAN	BEER	BEER	$10.79 		6.960727273
00007199010002	COORS 6/16 CAN	BEER	BEER	$6.55 		6.960727273
00007199010020	COORS 18/12 CAN	BEER	BEER	$13.99 		6.960727273
00007199030005	COORS LT 6/12 LNNR	BEER	BEER	$5.45 		6.960727273
00007199030017	COORS LT 18/12 CAN	BEER	BEER	$13.99 		6.960727273
00007199030040	COORS LT 32OZ	BEER	BEER	$2.29 		6.960727273
00007199030069	COORS LT 12/12 LNNR	BEER	BEER	$10.39 		6.960727273
00007289000011	HEINEKEN 6/12 BTL	BEER	BEER	$6.88 		6.960727273
00007289000016	HEINEKEN 12/12 BTL	BEER	BEER	$15.49 		6.960727273
00007642091119	PYRAMID APRICOT ALE 6/12	BEER	BEER	$7.69 		6.960727273
00007825000336	STEEL RSRV HIGH GRAV 6/16	BEER	BEER	$4.59 		6.960727273
00008066094433	ST. PAULI GIRL 24 OZ	BEER	BEER	$2.19 		6.960727273
00008066095605	CORONA 6/12	BEER	BEER	$8.79 		6.960727273
00008066095625	CORONA LT 6/12	BEER	BEER	$8.79 		6.960727273
00008066095641	CORONA 24OZ BT	BEER	BEER	$2.99 		6.960727273
00008248800006	BECK'S 24 OZ BTL	BEER	BEER	$2.09 		6.960727273
00008248812300	BECKS 12 PACK	BEER	BEER	$13.49 		6.960727273
00008378322822	SIERRA NEV SEASONAL 6/12	BEER	BEER	$6.19 		6.960727273
00008382012360	GUINNESS ST 4/14 CAN	BEER	BEER	$8.49 		6.960727273
00008382012393	GUINNESS ST 6/12	BEER	BEER	$10.99 		6.960727273
00008383500370	DOPPLE HIRSCH 17 OZ	BEER	BEER	$3.65 		6.960727273
00008769210012	SAM ADAMS LAGER 6/12	BEER	BEER	$7.39 		6.960727273
00008982600142	TECATE 24 OZ CANS	BEER	BEER	$2.09 		6.960727273
00009530113146	ROGUE DEAD GUY ALE 6/12	BEER	BEER	$9.69 		6.960727273
00009537497006	PBC SLINGSHOT 6/12 OZ	BEER	BEER	$5.88 		6.960727273
00009537499985	PBC MCTARNAHANS ALE 6/12	BEER	BEER	$5.88 		6.960727273
00063598506744	MIKES BERRY 6/11.2	BEER	BEER	$8.19 		6.960727273
00063598510062	MIKES HARD LMNADE 6/11.2	BEER	BEER	$8.19 		6.960727273
